Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
Total Time:1515.47044992446917       0.7792              76.8034          0.6075                 2.5945         
Total Time:1594.86928677558918       0.7897              75.1772          0.5938                 3.1884         
Total Time:1673.236992835998519       0.7930              74.7697          0.6100                 2.5108         
Total Time:1750.51745915412920       0.8017              74.4664          0.6038                 2.7432         
Total Time:1827.7295506000519Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4908              209.8163         0.4938                 3.0446         
Total Time:212.878609895706182        0.5439              232.9180         0.5075                 3.3887         
Total Time:449.20190548896793        0.5559              232.4360         0.5188                 4.5600         
Total Time:686.197841167454        0.5628              316.6785         0.5613                 7.8520         
Total Time:1010.72843074798585        0.5719              447.8823         0.5175                 7.1446         
Total Time:1465.76330113410956        0.5772              348.4519         0.5650                 6.2995         
Total Time:1820.51469159126287        0.5777              370.1946         0.5500                 7.6636         
Total Time:2198.3884623050698        0.5821              339.3765         0.4500                 7.4675         
Total Time:2545.2324535846719        0.5830              715.1018         0.5475                 6.9593         
Total Time:3267.297630786895810       0.5871              612.5266         0.5613                 4.9735         
Total Time:3884.8111407756805Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4908              493.6509         0.4938                 6.1570         
Total Time:499.82539820671082        0.5439              564.6874         0.5075                 5.3614         
Total Time:1069.9173207283023        0.5559              745.8225         0.5188                 11.3797        
Total Time:1827.13448262214664        0.5628              2058.4230        0.5613                 68.3899        
Total Time:3953.9473447799683Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4908              198.9632         0.4938                 2.6504         
Total Time:201.61503005027772        0.5439              188.1613         0.5075                 2.9039         
Total Time:392.69581913948063        0.5559              192.6366         0.5188                 3.3475         
Total Time:588.68188428878784        0.5628              308.3545         0.5613                 7.4884         
Total Time:904.53312444686895        0.5719              426.6741         0.5175                 7.0022         
Total Time:1338.20938062667856        0.5772              673.0022         0.5650                 7.1939         
Total Time:2018.40545630455027        0.5777              384.1183         0.5500                 4.3587         
Total Time:2406.88245773315438        0.5821              300.8597         0.4500                 5.1856         
Total Time:2712.95488810539259        0.5830              404.2934         0.5475                 5.2060         
Total Time:3122.47002458572410       0.5871              622.2082         0.5613                 5.9972         
Total Time:3750.68263816833511       0.5897              364.5850         0.5513                 5.4894         
Total Time:4120.75700402259812       0.5968              434.4268         0.5625                 6.8954         
Total Time:4562.07926583290113       0.5975              516.0924         0.5675                 6.9925         
Total Time:5085.19407296180714       0.6019              289.1667         0.5300                 6.9798         
Total Time:5381.34616136550915       0.6002              293.4058         0.5450                 8.5654         
Total Time:5683.32069659233116       0.6035              368.8777         0.5188                 3.7362         
Total Time:6055.93786811828617       0.6043              337.2983         0.5162                 4.6996         
Total Time:6397.93576741218618       0.6042              352.3696         0.5675                 5.4029         
Total Time:6755.71744489669819       0.6081              339.6535         0.5000                 6.5876         
Total Time:7101.95957612991320       0.6112              16775.4057       0.5262                 5.2785         
Total Time:23882.643795490265Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4997              127.1711         0.5463                 2.0142         
Total Time:129.19973540306092        0.6424              123.7468         0.5150                 2.5748         
Total Time:255.552294492721563        0.6993              133.5338         0.5525                 5.1340         
Total Time:394.221045970916754        0.7465              875.5464         0.5575                 6.2165         
Total Time:1275.9996833801275        0.7839              475.5150         0.4900                 17.3030        
Total Time:1768.8313233852386Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4824              558.2968         0.5300                 4.1516         
Total Time:562.47735023498542        0.6598              538.6390         0.5575                 3.5703         
Total Time:1104.70643353462223        0.7669              335.8001         0.5487                 8.0500         
Total Time:1448.5564720630646Epoch    Training_accuracy    Training_loss    Training_time    Validation_accuracy    Validation_loss    Validation_time
Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.4908              212.7353         0.4938                 3.4191         
Total Time:216.171524286270142        0.5439              238.2416         0.5075                 2.9051         
Total Time:457.37055444717413        0.5559              237.2619         0.5188                 4.8672         
Total Time:699.49957442283634        0.5628              334.6580         0.5613                 6.2303         
Total Time:1040.4014391899115        0.5719              454.8712         0.5175                 8.1789         
